interaction,result,free_energy,TP,FP,FN,TN,TPR,PPV,MCC
1,137,-387.8,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,138,-387.75,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,139,-387.73,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,140,-387.71,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,141,-387.71,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,142,-387.67,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,143,-387.64,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,144,-387.6,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,145,-387.53,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,146,-387.53,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,147,-387.47,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,148,-387.47,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,149,-387.46,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,150,-387.42,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,151,-387.4,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,152,-387.4,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,153,-387.35,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,154,-387.35,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,155,-387.35,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,156,-387.35,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,157,-387.35,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,158,-387.35,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,159,-387.33,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,160,-387.18,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
